ACO_ID,ACO_Name,Agree_Type,Agreement_Period_Num,Current_Start_Date,Current_Track,Risk_Model,Assign_Type,SNF_Waiver,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,Prorate_Shared_Losses,EarnSaveLoss,DisAffQual,Met_QPS,Met_30pctl,Met_Incentive,Met_FirstYear,Report_WI,Report_eCQM_CQM,Report_Inc,QualScore,Recvd30p,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,FinalShareRate,Rev_Exp_Cat,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_VA_Only,N_Ben_CBA_Only,N_Ben_CBA_and_VA,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,N_Ben_Race_Unknown,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,P_SNF_ADM,SNF_LOS,SNF_PayperStay,N_CAH,N_FQHC,N_RHC,N_ETA,N_Hosp,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,Perc_Dual,Perc_CovDiag,Perc_CovEpisode,Perc_LTI,CAHPS_1,CAHPS_2,CAHPS_3,CAHPS_4,CAHPS_5,CAHPS_6,CAHPS_7,CAHPS_11,CAHPS_9,CAHPS_8,Measure_479,Measure_484,QualityID_318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_134_eCQM,QualityID_134_MIPSCQM,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_001_eCQM,QualityID_001_MIPSCQM,QualityID_236_WI,QualityID_236_eCQM,QualityID_236_MIPSCQM
A1001,"Palm Beach Accountable Care Organization",Renewal,3,07/01/2019,EN,Two-Sided,Retrospective,1,74992,6.46%,2.00%,62404688,62404688,"",0,45867446,1,1,1,0,0,1,0,0,89.41%,0,315,13162,12769,966116777,903712089,75.00%,"Low Revenue",80077,11303,16301,11059,80195,11212,15371,11297,88854,11974,15787,11384,88476,10983,14882,11946,12312,1.01,1.097,1.064,1.149,0.994,1.012,1.033,1.129,1.018,1.02,1.041,1.127,1.024,1.051,1.128,1.121,652,4396,5157,69321,73400,262,2660,3205,67273,135,74572,285,4381,32739,27078,10794,43524,31468,65782,3159,536,2140,31,835,2509,2522,2231,45,249,15,209,408,1995,6253,83,596,448,237,221,1,12,2,533,190,848,409,15716,5972,8405,1316,23,37,22,11324,0,0,0,0,0,0,568,703,484,140,0,6.17%,21.45%,1.48%,0.15%,85.25,93.06,91.69,75.47,62.39,57.63,76.48,28.61,90.18,85.8,0.1726,25.67,97.06,90.46,90.48,91.78,-,-,90.24,92.37,93.2,30.77,4.17,-,-,92.87,-,-
A1006,"Hackensack Alliance ACO",Renewal,3,07/01/2019,B,One-Sided,Prospective,0,30324,0.58%,2.40%,2482362,0,"",0,0,1,1,1,0,0,1,0,0,83.28%,0,-22,14438,13495,427696841,425214479,40.00%,"Low Revenue",104329,12882,18025,11899,99185,11978,16733,12279,107382,12049,18246,12495,112007,13741,21167,13296,14354,1.064,1.125,1.077,1.149,1.047,1.094,1.027,1.091,1.054,1.019,1.009,1.089,1.057,1.045,1.031,1.041,205,1615,1902,23603,29624,150,1539,2010,25925,33,30210,81,1679,12913,10572,5160,18214,12110,24597,1735,1241,*,*,1046,929,3476,3119,69,240,93,303,1510,3304,5140,107,645,239,260,243,1,10,5,553,214,794,316,13433,4246,7717,1464,6,79,28,19572,0,0,0,0,1,2,552,845,285,177,4,9.40%,25.17%,2.32%,2.24%,82.66,93,91.38,82.63,62.51,61.05,76,23.45,88.32,86.89,0.1544,31.62,95.56,81.23,85.71,89.29,-,-,78.71,80,92.66,21.28,6.35,-,-,78.86,-,-
A1023,"P3 Health Partners ACO, LLC",Renewal,3,07/01/2019,B,One-Sided,Prospective,0,5194,6.87%,3.84%,3582129,3582129,"",0,1404194,1,1,1,0,0,0,0,1,70.63%,1,194,10244,10535,52165596,48583467,40.00%,"Low Revenue",70973,9627,8303,8585,72776,10091,9346,9284,77437,9284,9050,9510,66267,8444,10232,9419,9541,0.994,1.027,0.7,0.979,0.999,1.03,0.712,1.007,0.991,1.036,0.709,0.997,0.944,0.863,0.807,0.946,65,574,349,3142,5092,14,484,351,4242,*,5162,*,511,2600,1587,496,2989,2205,4369,135,62,217,227,93,91,2457,2075,*,248,82,361,487,1945,3815,157,362,294,215,188,*,13,*,638,136,689,271,9424,1548,3893,1767,2216,36,22,12993,0,35,0,0,0,0,244,29,220,26,0,12.05%,11.09%,1.69%,0.21%,75.82,91.59,91.75,68.16,58.54,57.72,70.53,25.17,87.98,80.35,0.1443,25.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A1026,"Atlantic ACO",Renewal,3,07/01/2019,E,Two-Sided,Retrospective,1,40219,1.75%,2.30%,8446253,0,"",0,0,1,1,1,0,0,1,0,0,83.32%,0,58,12369,11364,483895147,475448894,50.00%,"High Revenue",98543,10027,15304,9730,94181,10437,15510,10274,95991,11516,17457,10807,90465,13694,17009,11630,12153,1.008,0.926,0.997,0.988,1.008,0.908,1.033,0.989,0.976,0.933,0.997,0.993,1.011,1.036,0.974,0.995,189,3002,1470,37079,39122,102,2521,1347,35152,57,40075,87,3708,18664,12789,5058,22767,17452,34538,1874,981,*,*,916,1400,3179,2811,27,306,60,165,784,2944,4760,79,353,203,244,226,0,14,4,494,190,729,275,11700,3851,6587,1259,3,53,25,15108,0,0,0,0,5,5,596,723,318,135,1,6.66%,24.37%,1.93%,0.75%,85.09,94.47,93.57,77.34,64.63,68.32,77.85,28.31,92.29,86.78,0.1371,33.38,85.02,80.93,64.29,71.13,-,-,81.11,79.19,81.45,1.92,11.92,-,-,77.63,-,-
A1027,"Florida Physicians Trust, LLC",Renewal,3,07/01/2019,E,Two-Sided,Prospective,1,7965,6.29%,3.21%,6608541,6608541,"",0,3238185,1,1,1,0,0,1,0,0,78.60%,0,162,13556,13293,105115708,98507168,50.00%,"Low Revenue",83579,11305,20825,11311,92293,10580,19434,11317,94998,10606,20619,11546,82016,11468,20082,12082,12704,1.035,1.144,1.122,1.222,1.101,1.086,1.201,1.199,1.062,1.074,1.13,1.22,1.012,1.141,1.209,1.289,104,1062,678,8243,7754,27,485,407,6836,*,7928,*,510,3378,2885,1192,4464,3501,6583,690,*,200,*,187,154,3346,2914,88,368,22,482,840,1947,5214,115,783,353,349,323,3,20,3,700,283,881,304,14146,6034,5703,2285,124,68,29,13242,0,0,0,0,0,0,74,7,53,18,0,7.89%,16.92%,2.72%,0.92%,83.11,92.6,91.55,79.64,65.89,60.38,73.42,21.31,90.02,85.23,0.1667,33.67,90.35,75.94,89.66,71.74,-,-,83.33,81.82,77.38,15.22,9.74,-,-,80.15,-,-
A1032,"Premier ACO Physicians Network, LLC",Renewal,3,07/01/2019,B,One-Sided,Prospective,0,5758,8.74%,3.67%,7798684,7798684,"",0,3057084,1,1,1,0,0,1,0,0,72.99%,0,408,15875,15170,89238432,81439748,40.00%,"Low Revenue",98033,13020,19560,11503,94806,12432,19258,11430,95693,13011,18355,11809,108175,13988,18587,12165,14488,1.001,1.199,1.14,1.186,1.023,1.206,1.163,1.138,1.028,1.217,1.112,1.148,1.002,1.287,1.026,1.043,100,566,881,4281,5621,64,443,956,4159,14,5717,27,500,2584,1919,755,3262,2496,4044,452,402,415,*,299,*,3476,3086,93,276,81,618,1439,2518,5377,113,1117,325,258,242,2,10,3,518,215,640,294,12303,4274,7129,831,68,67,34,22856,0,0,0,0,0,0,134,197,84,33,0,24.24%,22.20%,2.10%,1.11%,81.89,92.54,92.05,77.16,58.68,54.11,70.7,29.55,88.91,81.34,0.158,28.42,67.99,70.95,76.92,51,-,-,66.35,65.77,79.1,8.33,14.59,-,-,76.06,-,-
A1033,"Advocate Physician Partners Accountable Care, Inc.",Renewal,3,07/01/2019,E,Two-Sided,Prospective,1,95585,6.48%,0.00%,77619589,77619589,"",0,38033599,1,1,1,0,0,1,0,0,79.22%,0,258,12852,12191,1198112600,1120493011,50.00%,"High Revenue",85204,10080,18537,9955,82557,10407,17307,10269,90537,10912,17737,10536,90604,10736,18088,11225,12020,1.003,0.99,1.041,1.056,1.014,0.983,1.039,1.039,1.024,0.985,1.04,1.04,1.044,1.04,1.075,1.086,1108,9330,5932,84479,93221,462,6425,5913,80422,78,95244,263,6907,44645,31267,12766,55295,40290,76326,10244,2469,1920,47,2497,2082,3103,2833,41,227,36,335,860,2601,4514,123,594,274,285,271,1,10,4,581,230,774,262,11260,4533,4910,1779,38,66,24,13590,0,11,0,0,5,4,1842,2998,1377,403,30,10.29%,15.32%,2.55%,1.17%,85.68,92.49,92.2,79.38,67.72,61.01,74.23,22.51,92.5,85.57,0.1571,34.48,89.14,78.79,71.88,86.64,-,-,74.88,82.04,91.18,8.93,10.67,-,-,81.22,-,-
A1037,"RGV ACO Health Providers, LLC",Renewal,3,07/01/2019,EN,Two-Sided,Prospective,1,6607,5.94%,2.00%,5099370,5099370,"",0,3748037,1,1,1,0,0,1,0,0,88.33%,0,509,13378,13392,85818233,80718863,75.00%,"Low Revenue",72181,8737,12139,8890,75011,10059,12755,9270,82154,11007,13421,9448,85431,11200,15498,10543,12583,1.06,1.088,0.992,1.116,1.045,1.136,1.034,1.082,1.072,1.214,1.1,1.123,1.07,1.206,1.242,1.245,224,984,2502,4783,6415,90,572,1211,4542,651,3018,2938,636,2648,2293,1030,3943,2664,5394,113,*,890,*,107,57,3548,2640,255,688,17,715,649,1994,4782,170,785,366,318,268,9,37,4,652,225,688,217,14495,8066,4618,1731,80,55,26,12063,0,0,0,0,0,0,45,0,30,19,0,25.07%,23.85%,2.04%,1.27%,77.76,89.78,89.39,75.69,65.2,55.17,72.71,23.64,86.07,79.58,0.1507,25.04,98.52,93.63,100,87.61,-,-,77.69,77.16,91.68,27.94,9.9,-,-,91.65,-,-
A1041,"West Florida ACO, LLC",Renewal,3,07/01/2019,EN,Two-Sided,Retrospective,1,13722,6.14%,2.00%,10481639,10481639,"",0,7704005,1,1,1,0,0,1,0,0,85.86%,0,451,12773,12536,170635460,160153821,75.00%,"Low Revenue",93045,11059,17096,10296,75643,11308,17812,10489,93870,11447,18425,10834,81087,11456,21016,11393,11988,1.067,1.181,1.171,1.189,1.075,1.117,1.126,1.185,1.038,1.134,1.149,1.218,1.079,1.141,1.256,1.297,114,1636,870,13780,13359,31,838,596,11894,25,13633,64,1131,5996,4728,1867,7873,5849,12273,528,226,*,*,261,301,3100,2652,115,352,18,234,802,1559,5431,107,644,368,308,284,4,17,2,590,249,866,294,13466,5971,5983,1457,54,67,25,12111,0,0,0,0,0,0,116,4,59,25,0,7.47%,17.04%,2.11%,1.38%,87.84,93.4,92.67,77.84,68.08,64.6,74.27,29.49,91.68,85,0.1567,31.98,90.26,88.42,86.15,83.28,-,-,88.78,84.32,86.46,24.32,9.98,-,-,89.26,-,-
A1051,"Coastal Carolina Quality Care, Inc.",Renewal,3,07/01/2019,EN,Two-Sided,Prospective,0,11049,13.74%,1.00%,16705344,16705344,"",0,12278428,1,1,1,0,0,1,0,0,90.15%,0,148,11242,10393,121589728,104884384,75.00%,"Low Revenue",70892,10225,12916,8999,76104,9058,13020,8880,73867,10263,14943,9371,*,9984,16259,9459,9697,1.009,1.162,1.132,1.083,1.023,1.033,1.048,1.037,1.041,1.146,1.161,1.181,*,1.204,1.27,1.242,22,805,435,10004,10816,*,523,*,10011,*,10968,*,552,5257,3908,1332,6143,4906,9647,1082,34,*,*,49,220,2295,2126,*,136,*,313,343,2346,3922,74,301,238,193,184,*,8,*,447,148,840,260,11681,4647,4090,2917,28,29,27,11356,0,0,0,0,0,0,39,68,39,40,0,4.09%,16.84%,1.57%,1.19%,84.77,93.16,91.8,73.7,68.62,62.91,76.42,34.29,93.08,86.57,0.1619,23.32,94.85,87.8,92.31,95.55,-,-,93.63,94.36,92.89,2.78,4.17,-,-,88.25,-,-
