ACO_Name,ACO_ID,year,ACO_State,Sav_Rate,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_HHA,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,P_EDV_Vis,P_EDV_Vis_HOSP,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,GenSaveLoss,FinalShareRate,P_SNF_ADM,QualScore,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO45,ACO46,ACO8,ACO38,ACO43,QualityID318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_236_WI,N_AB,N_PCP,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Other,N_Ben_Race_Hisp,N_Ben_Race_Asian,N_Ben_Race_White
"Palm Beach Accountable Care Organization, LLC",A1001,2018,FL,10.4911788,3184,2808,106,258,45,252,722,918,319,296,3,14,645,242,14861,5649,8412,112523299,45.42,63,0.9084,88.33,92.18,90.93,83.54,64.51,60.15,75.18,23.39,,,15.76,52.75,1.74,92.88,90.1,92.86,90.07,90.27,90.8,90.52,22.95,7.17,83.21,77372,442.0,462,3183,2505,3183,462,67143
Palm Beach Accountable Care Organization,A1001,2022,,6.46,2522,2231,45,249,15,209,408,596,237,221,1,12,533,190,15716,5972,8405,62404688,75.00%,37,89.41,,,,,,,,,,,,,,,90.46,90.48,91.78,90.24,92.37,93.2,30.77,4.17,92.87,74992,568.0,536,2140,835,2140,536,65782
Palm Beach Accountable Care Organization,A1001,2019,FL,10.9,3111,2750,95,261,36,243,603,838,297,276,2,13,611,222,15958,6530,8525,57047752,49.0,54,98.06,86.88,94.26,93.05,79.74,66.06,66.16,73.08,27.88,89.81,86.18,15.3,48.41,1.62,93.41,90.82,91.3,86.94,85.15,87.79,91.51,25,5.63,90.23,74707,,,2866,2744,2866,,64957
Palm Beach Accountable Care Organization,A1001,2021,,6.46,2522,2231,45,249,15,209,408,596,237,221,1,12,533,190,15716,5972,8405,62404688,75.00,37,89.41,,,,,,,,,,,,,,,90.46,90.48,91.78,90.24,92.37,93.2,30.77,4.17,92.87,74992,568.0,536,2140,835,2140,536,65782
Palm Beach Accountable Care Organization,A1001,2020,FL,7.57,2514,2219,55,233,29,245,389,658,237,220,1,12,452,183,15065,6291,7776,72427998,0.75,35,100.0,^,^,^,^,^,^,^,^,^,^,~,~,0.91,91.19,90.12,94.87,86.08,87.15,90.08,93.93,42.86,6.83,92.03,80864,466.0,484,2558,3122,2558,484,71224
CCACO,A1002,2018,"NY, NJ",13.242665800000001,2258,2133,3,86,38,121,574,263,169,163,0,4,290,142,14779,8847,5604,12171874,42.52,24,0.8503000000000001,86.84,90.76,91.0,80.99,53.24,59.3,68.71,30.22,,,14.78,34.88,1.21,75.24,76.67,94.12,62.42,59.97,50.66,78.82,0,9.08,75.22,9139,108.0,6881,59,1618,59,6881,449
CCACO,A1002,2019,"NY, NJ",15.75,2488,2318,11,97,66,110,780,261,179,172,1,3,309,149,16639,10460,5771,7735804,47.0,33,93.13,85.03,88.64,87.6,82.2,54.4,68.32,69.68,25.76,84.61,81.2,14.62,37.48,1.08,76.83,72.46,65,82.06,60.17,50.91,76.07,42.86,14.11,72.1,8702,,,58,1706,58,,479
Hackensack Alliance ACO,A1006,2019,"NJ, NY",4.2,3832,3468,65,238,107,234,1214,561,290,272,1,10,593,218,12446,4237,7478,9933568,46.0,76,92.17,86.51,95.01,94.07,84.55,63.19,62.13,73.25,21.8,91.79,87.8,15.54,59.47,1.64,90.76,82.19,100,87.9,75.89,75.97,83.54,21.88,9.9,81.75,34989,,,983,2009,983,,28567
Hackensack Alliance ACO,A1006,2021,,0.58,3476,3119,69,240,93,303,1510,645,260,243,1,10,553,214,13433,4246,7717,0,40.00,79,83.28,,,,,,,,,,,,,,,81.23,85.71,89.29,78.71,80,92.66,21.28,6.35,78.86,30324,552.0,1241,*,1046,*,1241,24597
Hackensack Alliance ACO,A1006,2020,"NJ, NY",-0.5,3119,2818,30,207,91,216,1235,533,248,232,1,8,454,197,11500,4011,6683,0,0.39,66,97.81,^,^,^,^,^,^,^,^,^,^,~,~,0.72,92.6,80,100,79.86,76,76.89,87.18,14.29,8.53,80.09,33798,464.0,1162,942,1983,942,1162,27545
